zaman,ivme_x,ivme_y,ivme_z,etiket
1777036000.4690146,0.03,0.04,-0.07,1
1777036000.4900777,0.54,-0.08,-0.07,1
1777036000.5113518,-0.04,0.02,-0.20,1
1777036000.5322099,-0.48,0.12,-0.08,1
1777036000.5540826,-0.54,0.13,-0.16,1
1777036000.5757835,-0.15,0.07,-0.13,1
1777036000.5979333,0.51,-0.02,-0.09,1
1777036000.617869,-0.12,0.12,-0.16,1
1777036000.6386776,-0.65,0.14,-0.12,1
1777036000.6650956,-0.74,-0.09,-0.21,1
1777036000.68666,-0.34,-0.01,-0.09,1
1777036000.7073014,0.73,0.02,-0.13,1
1777036000.7290537,0.36,0.14,-0.11,1
1777036000.7496743,-0.58,0.17,-0.21,1
1777036000.7708886,-0.88,0.06,-0.16,1
1777036000.7919521,-0.18,-0.09,-0.13,1
1777036000.814065,0.94,-0.28,-0.16,1
1777036000.834521,0.52,-0.04,-0.19,1
1777036000.85669,-0.48,0.17,-0.16,1
1777036000.8787386,-0.80,0.18,-0.22,1
1777036000.8992643,-0.34,0.03,-0.12,1
1777036000.9194617,0.50,-0.16,-0.17,1
1777036000.9469523,0.25,-0.02,-0.12,1
1777036000.9622173,-0.27,0.02,-0.16,1
1777036000.9815934,-0.17,-0.15,-0.12,1
1777036001.0046518,0.01,-0.26,-0.20,1
1777036001.0267844,-0.46,-0.18,0.01,1
1777036001.0473135,-0.43,-0.07,-0.12,1
1777036001.0689836,0.20,0.21,-0.39,1
1777036001.089398,0.24,0.51,-0.05,1
1777036001.1109242,0.14,0.62,-0.07,1
1777036001.1320193,-0.02,0.54,-0.17,1
1777036001.1527195,-0.06,0.23,-0.07,1
1777036001.174489,0.09,0.11,-0.06,1
1777036001.196044,-0.26,-0.01,-0.02,1
1777036001.2177777,-0.40,-0.12,-0.08,1
1777036001.239153,-0.22,0.05,-0.31,1
1777036001.259884,0.00,-0.11,-0.05,1
1777036001.280912,-0.07,-0.19,0.04,1
1777036001.3017921,-0.22,0.03,-0.10,1
1777036001.322897,0.03,0.23,-0.18,1
1777036001.34395,0.13,0.36,-0.17,1
1777036001.3657298,0.08,0.20,-0.08,1
1777036001.3866487,-0.29,-0.24,-0.07,1
1777036001.4087365,0.00,-0.04,-0.16,1
1777036001.4303842,0.14,0.18,-0.37,1
1777036001.4500618,-0.48,0.11,-0.09,1
1777036001.4714904,-0.29,-0.14,-0.05,1
1777036001.4929411,0.01,-0.37,-0.16,1
1777036001.5143645,-0.05,0.21,-0.27,1
1777036001.5358236,-0.11,0.40,-0.10,1
1777036001.5577474,-0.11,0.27,-0.01,1
1777036001.580273,-0.08,-0.04,-0.04,1
1777036001.600734,0.15,-0.18,-0.24,1
1777036001.621749,-0.18,0.14,-0.14,1
1777036001.6425502,-0.36,0.19,-0.04,1
1777036001.6633823,-0.34,0.13,-0.17,1
1777036001.6844122,-0.02,-0.11,-0.12,1
1777036001.7069275,0.17,-0.06,-0.08,1
1777036001.72844,-0.04,0.05,-0.17,1
1777036001.749522,-0.40,0.07,-0.15,1
1777036001.77083,-0.13,-0.04,-0.13,1
1777036001.7910948,-0.03,0.02,-0.22,1
1777036001.8122065,0.03,0.29,-0.09,1
1777036001.8323967,-0.07,0.46,-0.13,1
1777036001.854692,-0.44,0.73,-0.46,1
1777036001.877013,-0.36,0.43,-0.04,1
1777036001.896817,-0.09,-0.50,-0.11,1
1777036001.9200196,0.02,-0.27,-0.09,1
1777036001.9407785,0.09,0.08,-0.20,1
1777036001.9618385,0.28,-0.35,-0.05,1
1777036001.982903,0.38,-0.46,-0.04,1
1777036002.0034974,0.01,-0.03,-0.16,1
1777036002.024771,-0.37,0.30,-0.08,1
1777036002.0459301,-0.33,0.53,0.08,1
1777036002.068118,-0.24,0.53,-0.12,1
1777036002.0899196,-0.28,0.05,-0.16,1
1777036002.1118062,-0.36,-0.21,-0.22,1
1777036002.1322076,0.29,-0.30,-0.23,1
1777036002.153703,0.13,0.07,-0.17,1
1777036002.1750274,-0.26,0.24,-0.16,1
1777036002.195166,-0.46,0.22,-0.03,1
1777036002.2178295,-0.25,0.14,-0.15,1
1777036002.2385888,0.13,-0.12,-0.16,1
1777036002.2610145,0.04,-0.18,-0.15,1
1777036002.282267,0.12,0.00,-0.16,1
1777036002.302646,-0.13,0.36,-0.10,1
1777036002.3238745,-0.37,0.32,-0.17,1
1777036002.3444,-0.75,0.08,-0.22,1
1777036002.3657026,-0.33,-0.02,-0.07,1
1777036002.3869472,0.67,-0.22,-0.02,1
1777036002.4089756,0.43,0.10,-0.10,1
1777036002.4301183,-0.25,0.27,-0.18,1
1777036002.4517825,-0.51,0.15,-0.10,1
1777036002.4730148,-0.36,-0.04,-0.13,1
1777036002.494028,-0.04,-0.08,-0.05,1
1777036002.5145047,-0.36,0.04,-0.08,1
1777036002.535863,-0.13,0.07,-0.26,1
1777036002.5568397,0.05,0.03,-0.20,1
1777036002.576735,0.03,-0.04,-0.14,1
1777036002.5987685,-0.25,0.00,-0.06,1
1777036002.6210353,-0.34,0.22,-0.17,1
1777036002.6417644,-0.10,0.40,-0.21,1
1777036002.6691773,0.10,-0.01,-0.02,1
1777036002.6897268,0.16,-0.18,0.21,1
1777036002.7120218,-0.21,0.14,-0.09,1
1777036002.7328315,-0.26,0.32,-0.31,1
1777036002.754621,0.00,0.13,0.02,1
1777036002.7759259,0.34,-0.37,0.14,1
1777036002.7957964,0.10,-0.19,0.09,1
1777036002.8180137,-0.13,0.17,-0.34,1
1777036002.8381233,-0.64,0.13,-0.16,1
1777036002.86014,0.01,-0.13,0.13,1
1777036002.8827794,0.37,-0.26,0.14,1
1777036002.9040592,0.31,-0.20,0.02,1
1777036002.9247673,-0.03,0.37,-0.24,1
1777036002.9452171,-0.41,0.28,-0.19,1
1777036002.9666655,-0.45,-0.07,0.01,1
1777036002.987398,-0.33,-0.31,0.23,1
1777036003.009922,0.25,-0.27,0.07,1
1777036003.0313735,0.59,0.14,-0.31,1
1777036003.0527234,0.22,0.28,-0.16,1
1777036003.0742266,-0.26,0.11,-0.11,1
1777036003.0943303,-0.45,-0.40,0.12,1
1777036003.1153843,-0.15,-0.22,-0.03,1
1777036003.1373415,0.27,0.15,-0.16,1
1777036003.1573944,0.24,0.27,-0.12,1
1777036003.1791286,0.24,-0.14,0.17,1
1777036003.199306,-0.27,-0.78,0.19,1
1777036003.2214797,-0.35,-0.50,0.38,1
1777036003.2427864,0.32,0.90,-0.46,1
1777036003.2648351,0.78,1.29,-0.47,1
1777036003.2850997,-0.14,-0.35,0.15,1
1777036003.3066554,-1.72,-0.56,0.03,1
1777036003.3272417,-0.78,-0.27,-0.09,1
1777036003.3485727,0.61,0.26,-0.43,1
1777036003.370937,0.58,0.10,-0.28,1
1777036003.3910358,-0.20,-0.21,0.16,1
1777036003.4140236,-0.25,-0.36,0.11,1
1777036003.435141,-0.14,0.00,-0.22,1
1777036003.4568295,0.06,0.45,-0.15,1
1777036003.4780912,-0.01,0.27,-0.02,1
1777036003.4983985,-0.25,0.03,0.02,1
1777036003.5197608,0.09,-0.12,-0.05,1
1777036003.5402222,0.30,-0.18,-0.10,1
1777036003.5621493,-0.14,-0.19,-0.05,1
