zaman,ivme_x,ivme_y,ivme_z,etiket
1777036132.5041013,-2.86,-0.43,-0.34,2
1777036132.524986,0.20,-1.16,-0.83,2
1777036132.54677,2.71,0.21,-0.02,2
1777036132.5669086,2.21,1.94,0.25,2
1777036132.5882206,0.06,0.83,0.20,2
1777036132.6093283,-3.31,-1.19,-0.52,2
1777036132.6318989,-1.28,-1.30,-0.90,2
1777036132.6535246,2.04,-0.18,-0.20,2
1777036132.6745923,3.40,1.73,0.11,2
1777036132.694907,-1.28,0.44,0.09,2
1777036132.7157307,-3.87,-1.16,-0.76,2
1777036132.7369936,-0.51,-0.88,-0.92,2
1777036132.7571735,3.29,0.43,0.19,2
1777036132.780388,3.26,1.36,0.17,2
1777036132.801872,-0.46,0.44,0.07,2
1777036132.8220968,-4.44,-0.86,-0.67,2
1777036132.838004,-2.68,-1.14,-0.70,2
1777036132.8657084,2.43,-0.22,0.05,2
1777036132.8860452,2.24,0.90,-0.21,2
1777036132.9072857,-1.80,0.42,-0.21,2
1777036132.9270446,-4.13,-0.15,-0.18,2
1777036132.9499483,-1.40,-0.69,-0.82,2
1777036132.9703987,2.96,0.15,-0.20,2
1777036132.9927905,3.87,0.76,-0.01,2
1777036133.0133035,-1.52,-0.49,-0.28,2
1777036133.0345745,-3.86,-0.37,-0.45,2
1777036133.0570543,-0.63,0.16,-0.13,2
1777036133.0770266,4.55,0.47,0.15,2
1777036133.0984747,4.05,0.49,-0.09,2
1777036133.119214,-2.23,-0.49,-0.59,2
1777036133.1380787,-4.45,-0.55,-0.69,2
1777036133.1571755,-2.22,-0.36,-0.59,2
1777036133.1832407,0.52,0.14,0.03,2
1777036133.20596,3.94,0.88,0.03,2
1777036133.2269998,0.87,0.17,0.07,2
1777036133.2474582,-3.27,-1.15,-0.93,2
1777036133.2680192,-2.05,0.10,-0.54,2
1777036133.2894998,0.13,0.21,-0.25,2
1777036133.3102627,2.87,0.40,0.01,2
1777036133.3372347,1.61,0.06,-0.28,2
1777036133.3575938,-2.19,-0.20,-0.57,2
1777036133.3784728,-0.46,0.31,-0.14,2
1777036133.3990107,0.66,0.16,0.08,2
1777036133.4173434,-0.16,0.46,-0.15,2
1777036133.4380236,0.00,0.72,-0.28,2
1777036133.463446,0.54,-0.82,-0.29,2
1777036133.4853437,-0.69,-0.52,-0.50,2
1777036133.5077386,-1.25,0.53,-0.20,2
1777036133.5278556,1.69,-0.17,0.14,2
1777036133.5490365,1.34,-0.63,-0.40,2
1777036133.5704904,-1.32,-0.04,-0.21,2
1777036133.5916982,-1.78,0.08,-0.27,2
1777036133.612665,-0.03,0.32,-0.53,2
1777036133.6319938,0.75,0.05,-0.20,2
1777036133.6542084,0.44,-0.12,-0.13,2
1777036133.6771865,-0.48,0.43,-0.53,2
1777036133.6987598,-0.04,0.87,-0.04,2
1777036133.7169585,-0.01,0.05,0.01,2
1777036133.7405987,-0.31,-0.34,-0.19,2
1777036133.7614942,-0.35,-0.27,-0.38,2
1777036133.7820952,0.70,-0.22,0.02,2
1777036133.8038144,0.88,-0.49,-0.42,2
1777036133.8258545,-0.51,0.30,-0.90,2
1777036133.847786,-0.87,1.27,-0.01,2
1777036133.869632,-0.48,-0.02,0.42,2
1777036133.8894455,-0.42,-1.15,-0.84,2
1777036133.9070752,0.78,0.00,-0.74,2
1777036133.9325514,0.76,0.77,0.15,2
1777036133.9547026,-0.08,0.35,-0.01,2
1777036133.9755883,-1.46,0.24,-0.20,2
1777036133.9977956,-1.46,0.23,-0.23,2
1777036134.0187502,0.16,-0.89,-0.28,2
1777036134.0384448,1.52,0.82,-0.37,2
1777036134.06057,-0.44,0.97,0.36,2
1777036134.0812845,-2.55,-0.38,-0.30,2
1777036134.1025407,-1.27,-0.60,-0.45,2
1777036134.1206608,1.21,-0.50,-0.50,2
1777036134.1387584,2.78,0.23,-0.24,2
1777036134.166593,0.08,0.75,0.00,2
1777036134.188373,-1.97,0.42,-0.42,2
1777036134.206796,-2.08,0.12,-0.22,2
1777036134.229758,2.14,-0.62,-0.37,2
1777036134.2516928,1.76,-0.27,-0.36,2
1777036134.2720559,-1.13,0.38,-0.33,2
1777036134.293341,-2.10,0.84,-0.12,2
1777036134.3142433,-0.30,0.29,0.17,2
1777036134.331913,1.64,-0.88,-0.15,2
1777036134.3568778,0.84,-0.63,-0.80,2
1777036134.380289,-1.51,1.21,0.08,2
1777036134.4003587,-0.67,0.17,0.45,2
1777036134.4208667,1.63,-0.91,-0.54,2
1777036134.4421601,0.96,-0.49,-0.72,2
1777036134.4630203,-2.07,0.48,-0.36,2
1777036134.4852953,-1.09,0.54,-0.12,2
1777036134.5042682,0.55,0.10,0.14,2
1777036134.5274942,1.75,-0.46,-0.44,2
1777036134.548704,0.69,-0.24,-0.59,2
1777036134.5708516,-1.41,0.72,0.02,2
1777036134.5870464,0.44,-0.43,-0.42,2
1777036134.606923,0.29,-0.50,-1.03,2
1777036134.6335099,0.41,-0.07,-0.08,2
1777036134.6539845,-0.50,-0.23,-0.45,2
1777036134.6754367,-1.14,0.66,-0.43,2
1777036134.6968699,-0.70,1.41,0.11,2
1777036134.7185924,0.95,-0.01,0.18,2
1777036134.739847,2.08,-1.64,-0.42,2
1777036134.7610419,-0.92,0.14,-0.39,2
1777036134.7821834,-2.41,0.77,-0.18,2
1777036134.8029742,-0.90,0.83,-0.05,2
1777036134.824202,0.95,-0.32,-0.02,2
1777036134.8454108,1.29,-1.38,-0.45,2
1777036134.8665383,-0.23,-0.28,-0.22,2
1777036134.888391,-0.25,1.35,-0.05,2
1777036134.9104798,-0.16,1.26,-0.18,2
1777036134.931797,-0.85,-0.54,-0.14,2
1777036134.9525757,0.10,-0.15,0.00,2
1777036134.9735267,0.44,1.23,-0.14,2
1777036134.9939775,-0.09,0.27,-0.52,2
1777036135.015611,-0.45,-0.75,-0.11,2
1777036135.0371387,-0.18,-0.71,0.00,2
1777036135.0593255,0.14,-0.01,-0.69,2
1777036135.0800347,0.32,0.59,-0.71,2
1777036135.1024559,-0.34,1.03,0.09,2
1777036135.1230843,-0.24,-1.09,-0.51,2
1777036135.1443577,-0.39,-0.35,-0.54,2
1777036135.1655972,-0.97,0.33,0.15,2
1777036135.1869595,0.25,-0.70,0.21,2
1777036135.2083006,1.71,-0.40,-0.37,2
1777036135.2286375,0.20,-0.14,-0.48,2
1777036135.2509081,-1.54,0.02,-0.43,2
1777036135.2719328,-1.64,0.73,-0.36,2
1777036135.293578,0.72,0.16,-0.21,2
1777036135.3142238,0.23,-0.62,-0.11,2
1777036135.3410013,-0.70,0.27,-0.39,2
1777036135.3635395,-0.38,1.25,-0.45,2
1777036135.384398,1.00,0.08,-0.11,2
1777036135.4048028,0.83,-0.32,0.16,2
1777036135.426499,-0.12,-0.46,-0.11,2
1777036135.4472141,-0.55,-0.32,-0.79,2
1777036135.4681115,-1.38,0.92,-0.61,2
1777036135.4905655,-0.39,0.09,0.16,2
1777036135.5123556,0.58,-0.81,-0.13,2
1777036135.5335937,0.51,0.01,-0.61,2
1777036135.5544128,-0.37,0.99,-0.16,2
1777036135.5750668,0.04,-0.44,0.18,2
1777036135.5966458,-0.09,-0.77,-0.30,2
1777036135.6171312,-0.56,-0.08,-0.55,2
1777036135.639051,-0.50,0.77,-0.11,2
1777036135.6605258,0.17,0.61,-0.08,2
1777036135.6817992,0.09,-0.58,-0.21,2
1777036135.7039568,0.33,-0.98,-0.59,2
1777036135.7253947,-0.81,0.83,-0.15,2
1777036135.745813,-1.04,0.30,-0.09,2
1777036135.7670982,-0.41,0.05,-0.08,2
1777036135.7883818,1.48,-0.72,-0.28,2
1777036135.8099675,1.31,-0.32,-0.56,2
1777036135.8316808,-0.97,0.31,-0.24,2
1777036135.8527205,-1.69,0.48,-0.35,2
1777036135.8747513,-0.21,0.91,0.07,2
1777036135.8957076,1.36,-1.11,-0.40,2
1777036135.916492,0.43,-0.78,-0.71,2
1777036135.9369805,-0.98,0.34,-0.65,2
1777036135.957845,-1.31,0.39,-0.19,2
1777036135.9787936,-0.62,1.12,0.43,2
1777036136.0016892,0.01,0.18,0.01,2
1777036136.0224853,1.40,-1.28,-0.31,2
1777036136.0439374,0.53,-0.66,-0.65,2
1777036136.0662608,-1.33,0.51,-0.34,2
1777036136.0855598,-0.79,1.13,0.45,2
1777036136.107576,0.33,0.28,0.18,2
